expression                                                      	plurality 	Yago4          	manifestation                  	modifiers            	vagueness
centuries                                                       	class     	Event          	undetermined                   	MODIFIERS            	portions
rising sea levels                                               	class     	Intangible     	undetermined                   	adjective            	degree
rising ocean temperatures                                       	class     	Intangible     	undetermined                   	adjective noun       	degree
ocean acidification                                             	instance  	Event          	mass_noun                      	noun                 	degree
Many of these effects                                           	class     	Intangible     	numbered anaphora              	MODIFIERS            	degree portions
the current level of warming                                    	instance  	Intangible     	determined                     	adjective preposition	NOT_VAGUE
The Intergovernmental Panel on Climate Change                   	instance  	Organization   	determined named               	preposition          	NOT_VAGUE
a series of reports                                             	class     	CreativeWork   	undetermined                   	preposition          	NOT_VAGUE
significant increases in these impacts                          	class     	Intangible     	undetermined qualified_anaphora	adjective preposition	portions
warming                                                         	instance  	Event          	mass_noun                      	MODIFIERS            	subjective
the Paris Agreement                                             	instance  	CreativeWork   	determined named               	MODIFIERS            	NOT_VAGUE
nations                                                         	class     	Organization   	undetermined                   	MODIFIERS            	NOT_VAGUE
warming                                                         	instance  	Event          	mass_noun                      	MODIFIERS            	subjective
greenhouse gas emissions                                        	class     	BioChemEntity  	undetermined                   	noun                 	NOT_VAGUE
those pledges                                                   	class     	CreativeWork   	anaphora                       	MODIFIERS            	NOT_VAGUE
global warming                                                  	instance  	Event          	undetermined                   	adjective            	subjective
the end of the century                                          	instance  	Event          	determined                     	preposition          	NOT_VAGUE
current policies                                                	class     	CreativeWork   	undetermined                   	adjective            	portions
warming                                                         	instance  	Event          	mass_noun                      	MODIFIERS            	subjective
warming                                                         	instance  	Event          	mass_noun                      	MODIFIERS            	subjective
emissions                                                       	class     	BioChemEntity  	undetermined                   	MODIFIERS            	NOT_VAGUE
near-zero emissions                                             	class     	BioChemEntity  	undetermined                   	adjective            	degree
Mitigation efforts                                              	class     	Action         	undetermined                   	noun                 	portions subjective
the development and deployment of low-carbon energy technologies	class     	Action         	determined mass_noun           	preposition          	subjective portions
energy efficiency                                               	instance  	Intangible     	mass_noun                      	noun                 	subjective
phase-out of coal                                               	instance  	Action         	mass_noun                      	preposition          	NOT_VAGUE
reforestation                                                   	instance  	Action         	mass_noun                      	MODIFIERS            	NOT_VAGUE
forest preservation                                             	instance  	Action         	mass_noun                      	noun                 	NOT_VAGUE
Climate engineering techniques                                  	class     	CreativeWork   	undetermined                   	noun                 	portions
solar geoengineering                                            	instance  	Action         	mass_noun                      	noun                 	NOT_VAGUE
carbon dioxide removal                                          	instance  	Action         	mass_noun                      	noun                 	NOT_VAGUE
substantial limitations                                         	class     	Intangible     	undetermined                   	adjective            	subjective
large uncertainties                                             	class     	Intangible     	undetermined                   	adjective            	subjective
Societies                                                       	class     	Organization   	undetermined                   	MODIFIERS            	NOT_VAGUE
current and future global-warming effects                       	class     	Intangible     	undetermined                   	adjective            	subjective
improved coastline protection                                   	instance  	Action         	mass_noun                      	noun adjective       	subjective
better disaster management                                      	instance  	Action         	mass_noun                      	adjective noun       	subjective
the development of more resistant crops                         	class     	Action         	determined mass_noun           	adjective preposition	degree
